State,Population
Uttar Pradesh,241066874
Maharashtra,129877541
Bihar,128864915
West Bengal,103815877
Andhra Pradesh,53206421
Madhya Pradesh,86044251
Tamil Nadu,82722262
Rajasthan,80782495
Karnataka,70462375
Gujarat,72736247
Odisha,48126658
Kerala,35336581
Telangana,41008763
Jharkhand,40929284
Assam,31169272
Punjab,31623274
Haryana,30351496
Chhattisgarh,25540196
Uttarakhand,10116752
Himachal Pradesh,7663167
Tripura,3671032
Meghalaya,2964007
Manipur,2721756
Nagaland,1980602
Goa,1457723
Arunachal Pradesh,1382611
Mizoram,1091014
Sikkim,658361
Delhi,20188648
Puducherry,1244464
Chandigarh,1545116
Andaman and Nicobar Islands,379944
Dadra and Nagar Haveli and Daman and Diu,585764
Daman and Diu,242911
Lakshadweep,64429
Jammu and Kashmir,15427841
Ladakh,274289
Total,1350590492
